,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35407,28085491,1 Bedroom in NYC's Lower East Side! | Chinatown,50250626,Greg,Manhattan,Lower East Side,40.71882,-73.98554,Entire home/apt,185,1,52,7/4/2019,5.2,1,162
35068,27804902,Brooklyn Flavor,23776693,Bev,Brooklyn,Bedford-Stuyvesant,40.68529,-73.92936,Private room,48,3,22,7/3/2019,3.13,3,94
41294,32160052,Full Floor Of A Luxe Brooklyn Townhouse W. Garden!,124506693,Beautiful Brooklyn,Brooklyn,Crown Heights,40.6751,-73.953,Private room,71,2,9,7/1/2019,3.38,1,223
24552,19744503,Private and Comfortable bedroom,138003310,Marta,Queens,Richmond Hill,40.70008,-73.83344,Private room,60,7,53,6/28/2019,2.24,1,335
8360,6425850,"Spacious, charming studio",32715865,Yelena,Manhattan,Upper West Side,40.79169,-73.97498,Entire home/apt,86,1,5,9/23/2017,0.13,1,0
13838,10452249,3 Bedroom 1.5 Bath Duplex,49167739,Carine,Manhattan,SoHo,40.72768,-74.00233,Entire home/apt,500,5,24,4/14/2019,0.58,2,321
29963,23070522,The Home away from home!!!!,60373268,Bless M,Brooklyn,Bedford-Stuyvesant,40.6849,-73.91811,Entire home/apt,140,3,30,6/18/2019,1.88,1,122
1439,645922,Gorgeous Modern Manhattan Apt,1740784,Gal,Manhattan,Midtown,40.74648,-73.98459,Private room,100,3,41,9/25/2015,0.52,1,0
28988,22310190,COZY&QUITE WITH PARK AROUND THE BLOCK BARS & SHOPS,163103487,Raquel,Manhattan,East Village,40.72515,-73.98422,Entire home/apt,199,7,13,6/11/2019,0.82,1,349
20288,16221732,"A Comfortable, Cozy  Room",4013000,Mei,Queens,Bayside,40.75465,-73.77361,Private room,30,15,31,5/6/2019,0.99,2,142
22693,18366609,"COZY, QUIET BEDROOM IN INWOOD, ""UPSTATE MANHATTAN""",127164761,Christopher,Manhattan,Inwood,40.86689,-73.92353,Private room,46,1,14,7/2/2018,0.55,1,0
6014,4402805,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,22807362,Jenny,Brooklyn,Prospect-Lefferts Gardens,40.66025,-73.9627,Entire home/apt,120,3,3,8/28/2018,0.05,1,16
30665,23727037,Brooklyn's Best Kept Secret,127345864,Charlene,Brooklyn,East Flatbush,40.64174,-73.93193,Entire home/apt,135,2,26,7/3/2019,2.21,4,29
7206,5271661,Master Bedroom available with en suite bathroom.,6960329,Edna,Manhattan,Upper West Side,40.77484,-73.98659,Private room,130,2,2,6/30/2019,0.94,1,150
36463,28986804,Sunny Private Bedroom/Bath in Beautiful Brooklyn,71314515,Tessa,Brooklyn,Bedford-Stuyvesant,40.69303,-73.94183,Private room,80,1,15,6/23/2019,1.82,1,64
7081,5106749,Cozy 1BD near midtown Manhattan,26388856,Kat,Queens,Long Island City,40.7599,-73.9285,Entire home/apt,110,14,35,5/24/2019,0.69,1,177
5544,4033300,Sunny and comfortable 2 bedroom apt,2155917,Stephanie,Brooklyn,Bedford-Stuyvesant,40.68693,-73.95725,Entire home/apt,150,5,18,6/26/2019,2.57,3,254
27166,21474885,LAVISHING COMFORT  IN BROOKLYN BROWNSTONE NYC,2015914,Majar,Brooklyn,Bushwick,40.68818,-73.91519,Private room,75,3,2,6/30/2019,1.2,8,365
28873,22267217,City Living with a Home Town Feel.,105061915,Darlene,Manhattan,East Harlem,40.80279,-73.9445,Private room,43,1,13,7/2/2019,0.72,2,6
37093,29489893,Beautiful furnished private studio with backyard,222098649,Melissa,Queens,Jamaica,40.68547,-73.79063,Entire home/apt,20,1,111,7/7/2019,13.11,1,41
10249,7843851,Private room in artsy Brooklyn home,41332081,Stephanie,Brooklyn,Crown Heights,40.67689,-73.94884,Private room,85,3,8,11/18/2015,0.17,1,179
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
